ticker,company,category
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corporation,Technology
NVDA,NVIDIA Corporation,Technology
AVGO,Broadcom Inc.,Technology
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology
ORCL,Oracle Corporation,Technology
SSNLF,"Samsung Electronics Co., Ltd.",Technology
SAP,SAP SE,Technology
SAPGF,SAP SE,Technology
ASML,ASML Holding N.V.,Technology
ASMLF,ASML Holding N.V.,Technology
CRM,"Salesforce, Inc.",Technology
CSCO,"Cisco Systems, Inc.",Technology
IBM,International Business Machines Corporation,Technology
PLTR,Palantir Technologies Inc.,Technology
ACN,Accenture plc,Technology
INTU,Intuit Inc.,Technology
NOW,"ServiceNow, Inc.",Technology
UBER,"Uber Technologies, Inc.",Technology
SNEJF,Sony Group Corporation,Technology
ADBE,Adobe Inc.,Technology
QCOM,QUALCOMM Incorporated,Technology
SONY,Sony Group Corporation,Technology
AMD,"Advanced Micro Devices, Inc.",Technology
TXN,Texas Instruments Incorporated,Technology
XIACF,Xiaomi Corporation,Technology
XIACY,Xiaomi Corporation,Technology
ADP,"Automatic Data Processing, Inc.",Technology
FI,"Fiserv, Inc.",Technology
AMAT,"Applied Materials, Inc.",Technology
SHOP,Shopify Inc. Class A Subordinate Voting Shares,Technology
ARM,Arm Holdings plc,Technology
KYCCF,Keyence Corporation,Technology
CRWD,"CrowdStrike Holdings, Inc.",Technology
ANET,Arista Networks Inc,Technology
ADI,"Analog Devices, Inc.",Technology
KLAC,KLA Corporation,Technology
LRCX,Lam Research Corporation,Technology
INTC,Intel Corporation,Technology
APP,AppLovin Corporation,Technology
APH,Amphenol Corporation,Technology
MU,"Micron Technology, Inc.",Technology
MSTR,Strategy Incorporated,Technology
FTNT,"Fortinet, Inc.",Technology
CNSWF,Constellation Software Inc.,Technology
CDNS,"Cadence Design Systems, Inc.",Technology
MSI,"Motorola Solutions, Inc.",Technology
INFY,Infosys Limited,Technology
TOELY,Tokyo Electron Limited,Technology
TOELF,Tokyo Electron Limited,Technology
SNPS,"Synopsys, Inc.",Technology
ROP,"Roper Technologies, Inc.",Technology
DELL,Dell Technologies Inc.,Technology
WDAY,"Workday, Inc.",Technology
HNHPF,"Hon Hai Precision Industry Co., Ltd.",Technology
ADSK,"Autodesk, Inc.",Technology
PANW,"Palo Alto Networks, Inc.",Technology
TEAM,Atlassian Corporation,Technology
PAYX,"Paychex, Inc.",Technology
ADYYF,Adyen N.V.,Technology
DASTF,Dassault Systèmes SE,Technology
ADYEY,Adyen N.V.,Technology
DASTY,Dassault Systèmes SE,Technology
SNOW,Snowflake Inc.,Technology
FICO,Fair Isaac Corporation,Technology
HNHAF,"Hon Hai Precision Industry Co., Ltd.",Technology
MRVL,"Marvell Technology, Inc.",Technology
NXPI,NXP Semiconductors N.V.,Technology
FIS,"Fidelity National Information Services, Inc.",Technology
IFNNY,Infineon Technologies AG,Technology
FJTSF,Fujitsu Limited,Technology
IFNNF,Infineon Technologies AG,Technology
TEL,TE Connectivity plc,Technology
NET,"Cloudflare, Inc.",Technology
FJTSY,Fujitsu Limited,Technology
GRMN,Garmin Ltd.,Technology
GLW,Corning Incorporated,Technology
AMADF,"Amadeus IT Group, S.A.",Technology
NTTDF,NTT DATA Group Corporation,Technology
CTSH,Cognizant Technology Solutions Corporation,Technology
AMADY,"Amadeus IT Group, S.A.",Technology
ADTTF,Advantest Corporation,Technology
IT,"Gartner, Inc.",Technology
DDOG,"Datadog, Inc.",Technology
ZS,"Zscaler, Inc.",Technology
ATEYY,Advantest Corporation,Technology
BSQKZ,"Block, Inc.",Technology
CAJPY,Canon Inc.,Technology
WIT,Wipro Limited,Technology
HUBS,"HubSpot, Inc.",Technology
CAJFF,Canon Inc.,Technology
NOK,Nokia Oyj,Technology
BR,"Broadridge Financial Solutions, Inc.",Technology
MRAAY,"Murata Manufacturing Co., Ltd.",Technology
NOKBF,Nokia Oyj,Technology
ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology
ERIXF,Telefonaktiebolaget LM Ericsson (publ),Technology
ANSS,"ANSYS, Inc.",Technology
HXGBF,Hexagon AB (publ),Technology
NTDTY,NTT DATA Group Corporation,Technology
MPWR,"Monolithic Power Systems, Inc.",Technology
MRAAF,"Murata Manufacturing Co., Ltd.",Technology
TTD,"The Trade Desk, Inc.",Technology
PCRFF,Panasonic Holdings Corporation,Technology
PCRHY,Panasonic Holdings Corporation,Technology
TYL,"Tyler Technologies, Inc.",Technology
CAPMF,Capgemini SE,Technology
GDDY,GoDaddy Inc.,Technology
CGEMY,Capgemini SE,Technology
HXGBY,Hexagon AB (publ),Technology
VRSN,"VeriSign, Inc.",Technology
CHKP,Check Point Software Technologies Ltd.,Technology
GIB,CGI Inc.,Technology
KEYS,"Keysight Technologies, Inc.",Technology
ASMXF,ASM International NV,Technology
HPQ,HP Inc.,Technology
NURAF,"Nomura Research Institute, Ltd.",Technology
ASMIY,ASM International NV,Technology
FTV,Fortive Corporation,Technology
ZM,Zoom Communications Inc.,Technology
NRILY,"Nomura Research Institute, Ltd.",Technology
TDY,Teledyne Technologies Incorporated,Technology
CPAY,"Corpay, Inc.",Technology
IOT,Samsara Inc.,Technology
MCHP,Microchip Technology Incorporated,Technology
RNECF,Renesas Electronics Corporation,Technology
ZTCOF,ZTE Corporation,Technology
RNECY,Renesas Electronics Corporation,Technology
DISPF,Disco Corporation,Technology
DSCSY,Disco Corporation,Technology
DIDIY,DiDi Global Inc.,Technology
CDW,CDW Corporation,Technology
HPE,Hewlett Packard Enterprise Company,Technology
TOST,"Toast, Inc.",Technology
SSNC,"SS&C Technologies Holdings, Inc.",Technology
TTDKF,TDK Corporation,Technology
WTCHF,WiseTech Global Limited,Technology
TTDKY,TDK Corporation,Technology
LDOS,"Leidos Holdings, Inc.",Technology
SMCI,"Super Micro Computer, Inc.",Technology
STM,STMicroelectronics N.V.,Technology
STMEF,STMicroelectronics N.V.,Technology
UI,Ubiquiti Inc.,Technology
WIGBY,WiseTech Global Limited,Technology
ASX,"ASE Technology Holding Co., Ltd.",Technology
GFS,GlobalFoundries Inc.,Technology
UMC,United Microelectronics Corporation,Technology
PTC,PTC Inc.,Technology
NTAP,"NetApp, Inc.",Technology
OKTA,"Okta, Inc.",Technology
GRAB,Grab Holdings Limited,Technology
