ticker,company,category
NEE,"NextEra Energy, Inc.",Utilities
IBDRY,"Iberdrola, S.A.",Utilities
IBDSF,"Iberdrola, S.A.",Utilities
SO,The Southern Company,Utilities
DUK,Duke Energy Corporation,Utilities
GEV,GE Vernova Inc.,Utilities
ENLAY,Enel SpA,Utilities
ESOCF,Enel SpA,Utilities
NGGTF,National Grid plc,Utilities
NGG,National Grid plc,Utilities
CEG,Constellation Energy Corporation,Utilities
DUK-PA,Duke Energy Corporation,Utilities
NEE-PR,"NextEra Energy, Inc.",Utilities
AEP,"American Electric Power Company, Inc.",Utilities
ENGIY,Engie SA,Utilities
ENGQF,Engie SA,Utilities
EXC,Exelon Corporation,Utilities
PCG,PG&E Corporation,Utilities
EONGY,E.ON SE,Utilities
SRE,Sempra,Utilities
D,"Dominion Energy, Inc.",Utilities
ENAKF,E.ON SE,Utilities
PEG,Public Service Enterprise Group Incorporated,Utilities
XEL,Xcel Energy Inc.,Utilities
VST,Vistra Corp.,Utilities
ED,"Consolidated Edison, Inc.",Utilities
WEC,"WEC Energy Group, Inc.",Utilities
ELEZY,"Endesa, S.A.",Utilities
ELEZF,"Endesa, S.A.",Utilities
RWEOY,RWE Aktiengesellschaft,Utilities
AWK,"American Water Works Company, Inc.",Utilities
DTE,DTE Energy Company,Utilities
GASNY,"Naturgy Energy Group, S.A.",Utilities
OEZVY,VERBUND AG,Utilities
GASNF,"Naturgy Energy Group, S.A.",Utilities
PPL,PPL Corporation,Utilities
RWNFF,RWE Aktiengesellschaft,Utilities
AEE,Ameren Corporation,Utilities
OEZVF,VERBUND AG,Utilities
SSEZY,SSE plc,Utilities
ATO,Atmos Energy Corporation,Utilities
CNP,"CenterPoint Energy, Inc.",Utilities
FE,FirstEnergy Corp.,Utilities
FTS,Fortis Inc.,Utilities
SSEZF,SSE plc,Utilities
EIX,Edison International,Utilities
HRNNF,Hydro One Limited,Utilities
CMS,CMS Energy Corporation,Utilities
CLPHY,CLP Holdings Limited,Utilities
TNABF,Tenaga Nasional Berhad,Utilities
CZAVF,"CEZ, a. s.",Utilities
ES,Eversource Energy,Utilities
NRG,"NRG Energy, Inc.",Utilities
TNABY,Tenaga Nasional Berhad,Utilities
TEZNY,Terna S.p.A.,Utilities
CLPHF,CLP Holdings Limited,Utilities
TERRF,Terna S.p.A.,Utilities
SNMRY,Snam S.p.A.,Utilities
UNPRF,Uniper SE,Utilities
NI,NiSource Inc.,Utilities
ETR,Entergy Corporation,Utilities
DOGEF,Ørsted A/S,Utilities
DNNGY,Ørsted A/S,Utilities
HOKCF,The Hong Kong and China Gas Company Limited,Utilities
CKISY,CK Infrastructure Holdings Limited,Utilities
HOKCY,The Hong Kong and China Gas Company Limited,Utilities
CKISF,CK Infrastructure Holdings Limited,Utilities
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities
EVRG,"Evergy, Inc.",Utilities
LNT,Alliant Energy Corporation,Utilities
EDPFY,"EDP, S.A.",Utilities
SNMRF,Snam S.p.A.,Utilities
HUNGF,"Huaneng Power International, Inc.",Utilities
ELCPF,"EDP, S.A.",Utilities
BEP,Brookfield Renewable Partners L.P.,Utilities
FOJCY,Fortum Oyj,Utilities
TKGSF,"Tokyo Gas Co.,Ltd.",Utilities
HGKGY,Power Assets Holdings Limited,Utilities
HGKGF,Power Assets Holdings Limited,Utilities
MERVF,Manila Electric Company,Utilities
FOJCF,Fortum Oyj,Utilities
