titles,reviews
노인을 위한 나라는 없다,어떻다 불행 이유 없다 하다 무기 허망 부질없다 영화 가장 공포 요소 우리 모두 노인 되다 것임 죽음 찾아오다 청년 나라 없다 이창동 버닝 형제 노인 나라 운명 우연 다가오다 우린 하다 있다 누군가 영화 역사상 최고 빌런 뽑다 하다 망설이다 안톤 쉬다 하다 확실하다 확실하다 없다 사실 오직 하다 가지 심장 터지다 알다 스토리 연기력 몰입도 영화 영화 보다 영화 해석 보다 래야 영화 보다 노인 나라 없다 자본 백만 달러 쥐다 퇴역군인 목적의식 없다 살인마 막다 늙다 보안관 나라 없다 하비에르 바르뎀 안톤 자체 영화인 영화 죽음 운명 숨막히다 이다 집중 하다 심장 아프다 오다 보고 영화 추천 항상 작품 빼놓다 않다 그게 영화 물어보다 취향 맞다 보다 해주다 않다 보다 알다 같다 때문 아니다 이렇다 비쥬 배우 구함 무서움 그냥 서다 무서움 소리 다가오다 죽음 예고 희망 쓰다 찾아오다 불행 신중하다 벼린 영상 서늘하다 칼날 죽이다 헛된 소망 의지 없다 선택 의하다 무기 운명 이름 환각 숨기다 상관없다 영화 노인 살아가다 세상 빠르다 변칙 잔인하다 세상 극적 이야기 히어로 영원하다 푸른 희망 세상 나르다 위해 켜다 앞서 누군가 없다 인물 소신 성향 제목 보다 알다 메세지 더하다 정말 잘만 범죄 스릴러 화일 요즘 범죄 동기 없다 잔잔하다 긴장감 이어지다 스릴러 영화 끝판 최고 악역 도대체 명작 재앙 지혜 무력하다 인생 대해 독특하다 장르 접근 영화 세상 가장 효과 긴장감 주다 배경음악 침묵 영화 주다 긴장감 메세지 압도 되어다 동전 인생 기교 화려하다 아니다 강렬하다 묵직하다 영화 돋보이다 작품 덜덜 진짜 악마 보다 빈틈 조이다 들다 장악 무섭다 모두 무의미하다 그것 이유 하니 노인 나라 자리 없다 않다 영화 들다 나오다 우리 형제 이번 예외 없다 듯이 평범하다 없다 영화 들다 다시 나타나다 여전하다 건재 하다 쓰레기 같다 무서웡 화려하다 기교 부리 않다 연출 고요함 전해지다 서스펜스 일품 영화 보고 리뷰 보다 소름 돋다 다만 보다 제목 무슨 상관 싶다 머리 아픔 배경음악 없다 보다 모르다 음악 몰입 하다 있다 압도 건조하다 빠져들다 말라가 기분 긴장감 유지 시키다 연출 최고 이다 혼돈 사막 적막하다 아이러니 발걸음 하나 조여 들다 서스펜스 허망 음악 없다 서로 만나다 않다 하다 숨소리 배경음 되다 몰입 긴장감 카메라 구도 연기력 몰입 끌다 올리다 영화 해석 재미있다 영화 몰입 자체 묵직하다 예상 안되다 단발머리 공포 외모 남다 공기 무시무시하다 차지 하다 살인 난무 영화 좋다 평가 있다 이해 가다 영화 하나
애프터썬,섬세하다 모호하다 표현 나르다 비키다 느낌 끄다 감정 소용돌이 이해 하다 하다 애프터 써다 뒷모습 바라보다 알다 마음 대해 생각 하다 당신 시차 넘어서다 접속 보다 동안 덤덤하다 앉다 있다 막상 영화 끝나다 영화 보다 느끼다 물음표 불안 사랑 그리움 애틋하다 같다 섞이다 해일 밀려오다 없다 머리 이해 안되다 치다 영화 감정 다가오다 무언가 있다 정리 아버지 지키다 외치다 아바타 물의 보다 아련하다 다가오다 아버지 아버지 수도 없다 설명 하다 수도 없다 뒤늦다 되새기다 지난날 사랑 회한 아빠 하다 나르다 사랑 하다 않다 순간 없다 파편 이미지 남다 유년기 편집 되다 기억 은유 관념 점철 되다 타인 사생활 엿보다 낯선 감각 대한 흐릿 공감 추억 상상 어딘가 느껴지다 가슴 먹다 먹다 해지 사랑 그리움 이해 안되다 눈물 흐르다 영화 대체 뭘말 싶다 썬크림 스며들다 추억 꺼내다 보여주다 영화 캠코더 의존 하다 추억 애틋하다 회상록 사라지다 그렇다 오다 형상 이어지다 희미하다 동시 명확하다 기억 그때 없다 늦다 버리다 지나가다 기억 대한 이야기 몇몇 순간 시간 지나다 보이다 그립다 여름 그립다 이해 되다 모든 지고 행복하다 있다 바라다 그때 꺼내다 보다 지금 그대 다르다 느끼다 있다 개인 경험 하다 빠지다 보다 아버 그렇다 얼마나 힘들다 어른 되다 이해 되다 아버지 모습 어도 들키다 돼다 부다 없다 비로소 되다 그렇다 하다 사이 몸부림 저물다 가다 태양 보다 기억 파편 맞추다 아버지 대한 그리움 투사 되다 과거 회상 하다 느끼다 회한 아빠 비슷하다 나이 돼다 꺼내다 보다 여름 튀르키예 여행기 살다 겪다 되다 없다 과정 느끼다 되다 무력감 지켜보다 없다 찝찝하다 혼자 추다 모습 잊다 않다 영화 끝나다 누구 되어다 기억 곱씹다 되다 반추 시간 찾아오다 기억 상상 선연하다 남아 있다 여름 아버지 표정 무슨 의미 이다 성인 되어다 시절 사랑 추억 대한 후회 고민 시간 아름답다 풀다 내다 평양 냉면 같다 맛있다 모르다 사람 좋다 하다 감정 기승 전결 느끼다 수가 없다 작품 이다 지금껏 자극 영화 보다 걸다 영원하다 않다 알다 촉감 느끼다 싶다 붙잡다 애쓰다 어루만지다 희미하다 초점 하다 기록 보다 젊다 아버지 늙다 버리다 지고 나서다 깨닫다 그렇다 누군가 아빠 모습 문득 떠오르다 어떻다 얼굴 대한 뒤늦다 그리움 애틋하다 대해 어떻다 지나가다 시간 헤아리다 있다 대한 예쁘다 단상 이해 모호하다 이해 하다 이해 하다 짊어 위치 영화 통해 우리 유기 기억 경험 하다 최고 가독성 전달 되다 선형 않다 아빠 시간 정동 행복 좌표 아니다 흔들리다 진폭 연약하다 벡터 강렬하다 태양 남기다 상흔 은은하다 덮다 기억 물결 아련하다 달콤하다 이후 나이 먹다 뒤늦다 보이다 추억 되다 오다 없다 시간 그대 대한 이해 대어지다 진득 해지 기억 지난 아빠 하다 추억 카메라 편집 아름답다 아빠 동감 영원 사랑 이름 가지다 순간 순간 기억 이해 되다 않다 있다 아빠 하다 나르다 사랑 하다 않다 순간 없다
"엑스오, 키티 시즌 2",민호 얼굴 때문 망하다 연출 망하다 각본 망하다 연기 개연 성과 고증 고추장 버터 느낌 막장 무섭다 하루 민호 제발 이어지다 하다 보다 되다 오다 달콤하다 세기 꽃보다남자 꽃남 세기 드라만데 민호 무난 연애 해도 갈다 이야기 동성애 요소 여전하다 불편하다 남다 들다 여전하다 귀엽다 가볍다 귀엽다 하이 추천 하다
에이 아이,미래 로봇 단체 관람 하다 눈물 흘리다 영화 슬프다 잔혹하다 동화 같다 이야기 윤리 문제 다루다 내용 항상 생각 하다 만들다 인간 욕심 없다 고통 받다 존재 현재 계속 있다 세기 스타일 동화 동화 해석 하다 로봇 편안하다 안식 주다 스필버그 따뜻하다 순수하다 사람 틀림없다 반려동물 아이 선택 배우자 나르다 떠나다 책임지다 하다 나르다 아니다 택했다 사랑 주다 사랑 책임 지다 하루 위해 기다리다 사랑받다 로봇 따뜻하다 있다 스필버그 가장 슬프다 아름답다 동화 이야기 스티븐 스필버그 하다 다르다 줄평 생명 없다 존재 공감 하다 있다 만들다 영화 마법 사람 같다 감정 가지다 에이 아이 만들다 우리 사람 대해 하다 기계로 대해 하다 사랑 우리 모든 바치다 바꾸다 있다 영화 인생 가장 완벽하다 포스터 현대 피노키오 스티븐 스필버그 들려주다 가슴 저릿하다 동화 하다 안다 싶다 데이빗 스필버그 감성 큐브릭 이성 담다 부모 아이 사하다 필요없다 에이 아이 잡다 언제 보다 충격 대체 가능하다 인간 세상 오직 하나 에이 아이 가다 정도 일상 되다 지금 보다 약간 소름끼치다 기도 하다 데이빗 발끝 마룻바닥 들다 영화 들다 순수하다 차갑다 따다 대비 모순 들추다 믿음 흩다 뜨다 미래 피노키오 로봇 의하다 재창 되다 인간 인간 데이빗 만들다 행복 알다 주다 행복 주지 않다 안타깝다 안타깝다 여기 나오다 사람 밉다 사랑 나누다 나나 사랑 하다 만들다 사랑 하다 차이 사실 자다 모르다 주인공 아이 하다 생각 어리다 하다 생각 신기하다 심오하다 영화 때문 지치다 일상 보아 인지 머리 감정 복잡하다 아프다 차마 지켜보다 힘드다 가슴 아프다 운명 성형 파괴 영화 인공 지능 사랑 되다 잔인하다 정도 슬프다 영화 아카데미 영화 생각 하다 아무 기대 보다 영화 모나카 데이비드 잠들다 먹다 먹다 하다 없다 영화 대한 편견 없애다 영화 안드로이드 진짜 꾸다 행복하다 좋다 꾸다 미래 문명 이어진 인류 잔영 하루 느끼다 보고 싶다 하다 하다 스필버그 심심하다 위로 아름답다 감추다 가시 돋힌 질문 인류 도덕 신념 굳히다 않다 그때 최고 이다 처음 슬프다 사랑 하다 아이 아이 아니다 언뜻 동화 포장 되어다 애매하다 질문 계속 던지다 강경하다 산아제한 시행 하다 로봇 생산 어떻다 제한 없다 그렇다 로봇 개체 인간 뛰어넘다 순간 두렵다 아이러니 하다 사랑 하다 사람 사랑 받다 떠나다 하다 어리다 인공 지능 슬프다 아름답다 모험 년도 영화 지금 손색 없다 영화 보고 싶다 리스트 영화 하나 이다 가타카 다른 주드로 연기 좋다 필름 특유 질감 녹다 연출 이제야 보다 하다 생각 아이 마지막 순간 영원 되어다 인류 멸종 비로소 온전 사랑 받다 있다 데이빗 리뷰 미래 로봇 단체 관람 하다 눈물 흘리다 영화 세기 스타일 동화 가장 슬프다 아름답다 동화 이야기 반려동물 아이 선택 배우자 나르다 떠나다 책임지다 하다 나르다 아니다 택했다 사랑 주다 사랑 책임 지다 현대 피노키오
체크인 한양,뻔하다 주인공 연기 아쉽다 여기 나오다 배우 연기 하다 자꾸 보다 돼다 재밌다 웃기다 부분 있다 설레다 부분 있다 드라마 끝나다 아쉽다 같다 가볍다 보기 좋다 배우 케미 좋다 미소 짓다 성균관 스캔들 재다 보다 추천 성스 기대하다 연기력 뭔가 기시감 들다 드라마 소소하다 재미 계속 틀어놓다 보다 되다 성균관 스캔들 짝퉁
적인걸: 대당적공안 시즌 1,옴니버스 주제가 묶이다 재밌다
파비안느에 관한 진실,기다 시간 상처 간단하다 솔직하다 치유 되다 그렇다 가족 보다 고레 특유 색채 옅다 가족 영화로 역할 해내다 길어지다 완고하다 고독 하다 때론 모두 외롭다 모르다 지워지다 싶다 않다 악쓰다 모르다 아이유 미니앨범 가사 일부 입맛 고치다 쓸다 인생 다시 제대로 고치다 쓰기 모두 각자 방식 화해 시키다 영화 마법 연기 인생 연기자 가족 영화 부모 끊다 없다 애증 관계 대한 흔하다 이야기 하다 정말 그렇다 이야기 아쉽다 안도 하다 되다 모순 지우다 싶다 과거 고개 돌리다 싶다 미래 가족 따뜻하다 시선 보내다 솔직하다 모두 파비 안느 연기 하다 않다 연기 밝히다 밝히다 차이 가족 드라마 구성 그렇다 보다 쉘부르 우산도 보다 같다 중간 중간 음악 유럽 영화 다른 느껴지다 조미료 하나 넣다 않다 심심하다 맑은 먹다 느낌 배우 되다 싶다 파비 안느 진실 나누다 가지다 기억 다르다 함유 되다 감정 진실 드러나다 우린 서다 서로 바라보다 되다 상대 배려 하다 전하 전보 아름답다 용서 인정 나이 자릿수 비례 하다 않다 섬세하다 관찰 애매하다 결론 감독 해외 순방 멈추다 우리 따뜻하다 감싸다 오해 애증 고레 감독 작품 느껴지다 않다 특유 감성 자다 느끼다 힘들다 일본 영화 아니다 프랑스 영화 아니다 느껴지다 기대하다 달라 그렇다 아쉽다 느껴지다 프랑스 영화 개다 이란 간만 영화 고레 히로 평작 어떻다 훌륭하다 연기 진심 하다 현실 응어리 하다 멋지다 이야기 프랑스 진심 담다 연기 하다 부드러움 날카롭다 인생 묵직하다 상처 치유 자다 담다 가족 영화 삶다 먼저 해내다 잘나다 아니다 늦다 해도 아니다 현재 진행형 활기차다 섬세하다 애매하다 구석 영화 담기다 지혜 인상 국제 애증 파비 안느 모두 사다 용기 얻다 관계 회복하다 파비 안느 진실 새롭다 가족 이야기 남다 의심 머쓱하다 만들다 고레 감독 일침 엄마 사이 미묘하다 자존심 싸움 노년기 유채 같다 진실 명동역 라이브러리 읏음 영화 아니다 극장 나서다 순간 행복하다 있다 이기 더욱 쓸쓸하다 느껴지다 카트 린느 드뇌브 인생 개인 기억 얼마나 기적 가족 사랑 늘다 얼마나 황홀하다 인생 말년 접다 여배우 회고록 발간 준비 하다 회고록 미리 받다 가족 주변 사람 내용 실망하다 내용 거짓 멀쩡하다 살다 남편 죽다 사람 레다 감독 프랑스 버젼 수식 충실하다 하다 여배우 카트 드뇌브 빼어나다 초상 이자 연기 통해 허구 현실 관계 탐구 하다 탁월하다 메타 화이자 관계 성찰 녹이다 내다 가족 영화 일본인 천성 배우 가족 진실 의미 어쩌면 배우 로서 살아가다 우리 모두 진실 여러 얼굴 가지 있다 어떡하다 회고록 발간 앞두다 전설 배우 파비 안느 축하 하다 위해 뤼미르 남편 행크 어리다 샤를로트 파비 안느 찾다 일어나다 가족 이야기 아무 보다 내내 행복하다 차갑다 느낌 들다 등장인물 성격 불구 가을 배경 영화 전체 흐르다 따스하다 마음 따뜻하다 그냥 행복하다 개인 취향 맞다 배경 언어 변화 느껴지다 반복 피로
스파이더맨: 어크로스 더 유니버스,이야기 메시지 스케일 모두 전편 가뿐하다 뛰어넘다 수작 이기다 끊다 반칙 아니다 음악 감동 액션 비쥬 압도 최고 화이자 올해 만점 유일하다 영화 심지어 파트 파트 늘다 어떻다 참다 주인공 마일스 성장 스파이더맨 운명 싸움 그리다 영화 멀티버스 장치 아니다 장르 로써 작동 하다 모범 답안 마일 이름 새롭다 캐논 스파이더맨 아니다 충분하다 멋지다 작품 멀티버스 좋아하다 않다 키노 시사회 당첨 되어다 보고 오다 다음 화가 기대 하다 애니메이션 영화 좋아하다 않다 몰입 하다 있다 영화 오스카 아이작 좋다 시즌 만큼 재밌다 전편 훌륭하다 속편 중간 중간 패밀리 파트 늘어지다 마무리 안되다 연작 아쉽다 감사하다 요즘 멀티버스 영화 보다 질리다 아니다 헷갈리다 스파이더맨 오백 보고 확실하다 질리다 이제 멀티버스 보다 되다 같다 미치다 나오다 역작 입가 경의 진수 보여주다 영화 압도 하다 가장 자다 어울리다 같다 영원하다 고통 받다 스파이더맨 지키다 하다 유구 전통 버리다 하다 클리셰 호흡 아쉽다 달리 호흡 느리다 아쉽다 형식 스타일 흥분 하다 최전선 하다 담다 내다 내용 주제 의식 대중 수긍 하다 있다 공통 분모 어필 하다 그릇 모양 정도 담기다 그릇 모양 애니메이션 나오다 있다 연출 스토리 베스트 어수선하다 몰입도 약간 방해 되다 포인트 있다 약사 멀티버스 스파이디 라면 무조건 신선하다 영리하다 활용 멀티버스 여전하다 뛰어나다 작화 음악 개성 있다 멀티 버스 그릇되다 운명 겉잡 없다 꼬이다 풀다 뒤틀리다 버리다 운명 딜레마 전작 뛰어넘다 수작 멀티버스 수많다 스파이더맨 향연 어지럽다 재미 되다 역사상 최고 스파이더맨 영화 퀄리티 나오다 시각 즐거움 하다 영화 스파이더맨 좋아하다 사랑 하다 없다 영화 애니메이션 보여주다 있다 액션 끝판 멀티버스 제대로 보여주다 좋다 아름답다 그림 전시회 거닐다 애니메 시각 테크닉 표현 작품 있다 멀티버스 넘치다 상상력 조화 엄청나다 작품 낳다 스파이더맨 크로스 유니버스 혼돈 예술 되다 색감 표현 황홀하다 시간 금방 지나가다 예고편 메이 하다 있다 재치 당돌하다 자체 새롭다 시대 애니메이션 쿠키 진짜 강추 완전 재밌다 보다 스토리 사운드트랙 그래픽 세계관 연기 모두 정말 전작 보다 재밌다 보다 보다 추천 파트 언제 나오다 애니메이션 하다 있다 미술 완성 하다 있다 이야기 스파이더맨 사랑 하다 스토리 둘째 화면 구성 하다 모든 이롭다 만들다 계시다 그래픽 장판 스파이더맨 세계관 무식 나다 재밌다 있다 중간 늘어지다 피로하다 졸다 보류 보다 여기 끊다 많다 우주 자신 이야기 오직 자신 써다 내려가다 있다 작품 반짝이다 짧다 반짝이다 아니다 정말 찾아내다 작품 이번 보고 느끼다 메이드 애니메이션 애니메이션 범주 벗어나다 진짜 애니메이션 뛰어나다 멀티버스 자다 다루다 인정 두통 유발 하다 어지러움 다른 누구 아니다 이야기 멀티버스 지겹다 다기 자다 만들다 스파이더맨 라면 더하다 나위 좋다 영화 전편 스타일 계승 후편 위해 매력 캐릭터 서사 확장 하다 존잼 영화 혁명 않다 운명 변곡점 드리다 영웅 끝없다 딜레마 세트 모르다 보다 싸다 강제 끊다 기분 내놓다 내년 상반기 어케 기다림 이야기 메시지 스케일 모두 전편 가뿐하다 뛰어넘다 수작 이기다 끊다 반칙 아니다 음악 감동 액션 비쥬 압도 최고 화이자 올해 만점 유일하다 영화 심지어 파트 파트 늘다 어떻다 참다 주인공 마일스 성장 스파이더맨 운명 싸움 그리다 영화 멀티버스 장치 아니다 장르 로써 작동 하다 모범 답안 스파이더맨 아니다 충분하다 멋지다 작품 멀티버스 좋아하다 않다 키노 시사회 당첨 되어다 보고 오다 다음 화가 기대 하다 애니메이션 영화 좋아하다 않다 몰입 하다 있다 영화 미치다 나오다 역작 입가 경의 진수 보여주다 영화 압도 하다 가장 자다 어울리다 같다
콰이어트 플레이스 2,시리즈 진정하다 빌런 사람 괴물 아니다 전편 재미있다 조마조마하다 상황 연출 자다 끌다 내다 괴물 대한 새롭다 단서 세계관 확장 측면 보다 더디다 진행 되다 같다 살짝 아쉽다 이제 너희 아빠 가족 지키다 아빠 어떻다 처음 알다 보통 세계관 커지다 하다 마련 하다 해내다 속편 분명 전작 하다 속편 안좋다 이건 두다 명작 생존 인간 진화 본능 분위기 부터 몰입 서스펜스 영화 로써 모든 갖추다 있다 연장 하다 들리다 소음 공포 전편 긴장감 자다 유지 시키다 이다 이번 아들 자연 연결 되다 만족스럽다 그렇다 겪다 이제 들다 만하 않다 허다 군데 보이 충분하다 완벽하다 속편 정석 성공하다 속편 용감하다 성장하다 남매 아이디어 뛰어나다 수작 태어나다 후속작 리언 머피 등장 가다 보다 재밌다 쥬라기 공원 괴물 버전 보다 느낌 들다 후속작 재밌다 크리 치다 정말 실존 하다 처럼 괴물 소리 생김새 특징 자다 어울리다 맞다 떨어지다 시즌 재미있다 보다 시즌 늘다 시즌 비다 아쉽다 않다 싶다 좋다 설정 연속 많다 이야기 다소 부족하다 개연 소재 신선하다 도망치다 않다 공포 마주 하다 당신 있다 아이디어 반짝임 점차 퇴색 되어다 간다 세계관 확장 가족 성장 정교하다 사운드 디자인 교차 편집 통해 느껴지다 최상 몰입도 그냥 적당하다 수준 나다 숨막히다 중간 중간 시퀀스 아주 영리하다 나오다 주다 연출 긴장감 쫄깃함 그대로 유지 하다 자다 만들다 전편 긴장감 넘치다 훌쩍 커버 아이 커지다 만큼 고구마 크기 커지다 조금 넓어지다 세계 뚜렷 나타나다 남매 성장 전편 비다 서사 부족 중간 늘어지다 스토리 다소 아쉽다 하나 스릴 감다 전편 좋다 보여주다 빠지다 속편 조용하다 더욱 숨막히다 무려 좋다 기다리다 보람 있다 재밌다 보다 다른 누구 아니다 용기 지니다 누구 일단 화면 나오다 사용 하다 영화 좋다 보다 재밌다 보다 역시 깜짝 놀라다 싫어하다 로서 보다 힘들다 미요 이렇다 영화 극장 얼마 보다 건지다 받다 하다 아이 해내다 하다 하다 설정 주다 참신하다 빠져나가다 자리 확장 되어다 워진 세계관 채우다 최악 상황 아이 성장하다 생명 태어나다 보고 보다 하다 과거 돌아가다 기대 되다 편이 몰입도 좋다 재미있다 어른 흘리다 피로 성장하다 아이 콰이어트 레이스 이어지다 재밌다 보다 밀리 센트 시몬 영화 어느새다 나다 참고 있다
커넥션,뭣같 학급 신조 때문 간만 조연 모두 파티 드라마 만나다 즐겁다 김민우 휴식 같다 친구 노래 보다 떠오르다 마약 연출 스토리 짜임새 사이 연기력 빛나다 개연 제로 근래 보다 드라마 제일 재밌다 배우 연기 최고 이다 박하다 짜다 오가다 연출 몰입 깨지다 연기력 스토리 좋다 드라마 지상파 하다 자다 하다 전기차 광고 사탕 광고 나오다 일단 드라마 좋다 용서 되다 몰입 있다 배우 연기 진짜 친구 계급 차이 다시 하다 느끼다 해주다 작품 재밌다 마약 소재 드라마 커넥션 주다 특별하다 소재 주다 신선하다 무엇 좋다 연출 덕분 몰입 좋다 드라마 주인공 지성 미도 둘러싸다 인물 의뭉스럽다 조력자 끄나풀 맥거핀 갈피 잡히다 김창수 제일 궁금하다 갈수록 흥미진진 연출 신선하다 캐릭터 특징 안보 지성 같다 느낌 없다 않다 지켜보다 야하다 모든 좋다 완벽하다 지성 연기 모여들다 자꾸 등장 하다 사건 마지막 엔딩 아쉽다 작품 형사물 기대하다 전형 전개 드라마 보다 우정 커넥션 미묘하다 차이 대해 질문 던지다 드라마 일이 켜다 매듭 하나 풀다 나가다 지성 혼자 연기 하다 과잉 여전하다 전개 마무리 양호 하다 기대 주다 뻔하다 전개 반복 성의 없다 엔딩 최악 정말 재밌다 보다 유연하다 키노 인스타 예고 보고 보기 시작 하다 멈추다 없다 나다 중독 되다 건가 현재 보다 드라마 하나 커넥션 과거 사건 영향 현재 범죄 이어지다 유기성 좋다 없다 이르다 궁금하다 지루하다 않다 드라마 부족하다 달라지다 분위기 형사물 승패 같다 정말 하다 이야기 위해 자다 달리다 예쁘다 여주 없다 자다 보다 믿다 보다 안되다 남자 배우 지성 때문 보다 재밌다 계속 보다 여경 심지어 남다 직급 높다 비슷하다 디즈니 처음 착하다 살다 가다 드라마 관통 하다 어리다 나쁘다 계속 나쁘다 교화 그렇다 있다 가다 마약 범죄수사 형사 마약 중독 되다 재미있다 흡입 있다 연출 밀도 높다 스토리 전개 하다 우정 범죄 사이 피카레스크 발상 좋다 마무리 용두사미 마약 중독 위험 연기 보여주다 지성 연기 갈수록 실감 나다 간만 다음 회차 기다리다 드라마 처음 보다 사람 지성 그냥 보고 하다 되다 알다 하다 모르다 재미없다 드라마 지성 연기 보다 재미 있다 강추 결말 연출 작가 인지 착각 계시다 급하다 하다 남다 하다 종방 하다 느낌 드라마 전개 흡입 훌륭하다 이제 한국 드라마 똑같다 해결 방식 고민 필요 해보다 갚다 하다 생각 하다 순간 관계 중독 되다 몰입 하나 최고 이다 장르 지성 정말 에드 공중파 드라마 밀다 자다 뽑히다 마지막 근래 드라마 흐지부지 끝내기 바쁘다 같다 스브스 살다 아쉽다 없다 아니다 덮다 배우 연기력 흡입 있다 진행 명작 틀림없다 초반 재밌다 중반 조금 지루하다 재밌다 후반 마지막 약하다 허무하다 지상파 드라마 한계 넘어서다 보고 싶다 오히려 길어지다 마지막 아쉬움 남기다 용두사미 재미있다 다만 하나 하나 사건 해결 필요하다 단서 주다 하다 답답하다 있다 자다 만들다 드라마 같다 후반 부가 빠지다 주인공 내용 가다 느낌 적다 그것 빼다 아주 재밌다 처음 지성 닥치다 상황 거부 들다 어느새다 거부 감다 잊혀지다 이야기 빠져들다 집중 시대 풍자 같다 등장인물 많다 이름 외우다 사건 복잡하다 웃기다 화면 무빙 몰입도 최고 지성 연기 감탄 지성 드라마 느낌 그대로 가져가다 전반 좋다 장르 좋아하다 식상하다 있다 연기 좋다 마약 먹다 형사 이야기 지루하다 미치다 연기력 지루하다 않다 권율 오빠 연기 살벌하다
