title,summary,category
Insiders own 25% of LGI Limited (ASX:LGI) shares but private companies control 33% of the company,Key Insights The considerable ownership by private companies in LGI indicates that they collectively have a greater say...,Utilities
Illinois American Water Highlights Work Zone Awareness Week,"BELLEVILLE, Ill., April 21, 2025--Illinois American Water provides these simple rules when driving through work zones: Stay alert, Slow down and Give yourself some space.",Utilities
Southern Co. (SO) Stock Moves -1.72%: What You Should Know,"In the latest trading session, Southern Co. (SO) closed at $90.23, marking a -1.72% move from the previous day.",Utilities
Duke Energy (DUK) Stock Moves -1.34%: What You Should Know,"In the most recent trading session, Duke Energy (DUK) closed at $120.17, indicating a -1.34% shift from the previous trading day.",Utilities
Tata Power Co Ltd (BOM:500400) Q3 2025 Earnings Call Highlights: Sustained Growth and Strategic ...,"Tata Power Co Ltd (BOM:500400) reports its 21st consecutive quarter of PAT growth, driven by robust renewable energy expansion and strategic CapEx plans.",Utilities
Iren SpA (FRA:TZ8) Q4 2024 Earnings Call Highlights: Strong EBITDA Growth and Renewable Energy Surge,"Iren SpA (FRA:TZ8) reports a 6.5% increase in EBITDA and significant renewable energy expansion, despite challenges in energy efficiency projects and increased net financial debt.",Utilities
Revolve to Present at the Planet MicroCap Showcase,"VANCOUVER, BC / ACCESS Newswire / April 21, 2025 /Revolve Renewable Power Corp. (TSXV:REVV)(OTCQB:REVVF) (""Revolve"" or the ""Company""), a North American owner, operator and developer of renewable energy projects, is pleased to announce that it will ...",Utilities
Adani Green Energy Ltd (BOM:541450) Q3 2025 Earnings Call Highlights: Strong Growth in Energy ...,"Adani Green Energy Ltd (BOM:541450) reports a 23% surge in energy sales and significant capacity additions, despite facing regulatory and market challenges.",Utilities
Aboitiz Power Corp (ABZPY) Q4 2024 Earnings Call Highlights: Strong EBITDA Growth Amid Revenue ...,"Aboitiz Power Corp (ABZPY) reports a 13% rise in EBITDA and a record dividend, despite a decline in generation segment revenue.",Utilities
Middlesex Water Company to Report First Quarter 2025 Earnings on May 1,"ISELIN, N.J., April 21, 2025 (GLOBE NEWSWIRE) -- Middlesex Water Company (NASDAQ: MSEX) plans to report financial results for the first quarter ended March 31, 2025, after the market close on May 1, 2025. The press release and the company’s first quarter 2025 Form 10-Q will be available in the Investors section of the Company’s website. About Middlesex Water Company Middlesex Water Company (NASDAQ: MSEX) is one of the nation’s premier investor-owned water and wastewater utilities. Established in",Utilities
Sempra to Report First-Quarter 2025 Earnings May 8,"Sempra (NYSE: SRE) plans to release its first-quarter 2025 earnings by 8 a.m. ET on Thursday, May 8.",Utilities
IBN Coverage: SolarBank's (NASDAQ: SUUN) (Cboe CA: SUNN) (FSE: GY2) Vision in Action: Building the Grid of Tomorrow,"This article was published by IBN, a multifaceted communications organization engaged in connecting public companies to the investment community LOS ANGELES, CA - April 21, 2025 (NEWMEDIAWIRE) - Disseminated on behalf of SolarBank Corporation SolarB...",Utilities
Vistra Corp. (VST): Among Billionaire Rob Citrone’s Top Stock Picks,"We recently published a list of Billionaire Rob Citrone’s Top 10 Stock Picks. In this article, we are going to take a look at where Vistra Corp. (NYSE:VST) stands against other billionaire Rob Citrone’s top stock picks. Robert K. Citrone is a well-known figure in the financial world. Rob, as many call him, is the […]",Utilities
Southern Company increases dividend for 24th consecutive year; annualized rate rises to $2.96 per share,Southern Company today announced it is increasing its dividend by 8 cents per share on an annualized basis to a rate of $2.96 per share.,Utilities
NextEra Energy Set to Report Q1 Earnings: How to Play the Stock?,NEE stock will benefit from the increasing demand for clean energy in its service territories. Increasing clean energy generation capacity will assist it in meeting rising demand.,Utilities
Update: Northland Power Names Jeff Hart as Chief Financial Officer,(Adds National Bank commentary and updates shares.) Northland Power (NPI.TO) on Monday appointed,Utilities
Why Portland General Electric (POR) is Poised to Beat Earnings Estimates Again,Portland General Electric (POR) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
Will NiSource (NI) Beat Estimates Again in Its Next Earnings Report?,NiSource (NI) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
Why New Fortress Energy (NFE) is Poised to Beat Earnings Estimates Again,New Fortress Energy (NFE) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
Will Entergy (ETR) Beat Estimates Again in Its Next Earnings Report?,Entergy (ETR) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
ENGIE - Sponsored ADR (ENGIY) Is Up 1.97% in One Week: What You Should Know,Does ENGIE - Sponsored ADR (ENGIY) have what it takes to be a top stock pick for momentum investors? Let's find out.,Utilities
Avista Foundation awards 58 grants supporting health and human services,"So far this year, the Avista Foundation has awarded over $316,000 to support local communities.SPOKANE, Wash., April 21, 2025 (GLOBE NEWSWIRE) -- In its first quarter, the Avista Foundation awarded $316,250 in grants to 58 nonprofit organizations across Washington, Idaho, Oregon, Alaska, and Montana to support health and human services. “Everyone deserves the opportunity to lead a healthy life. And these community partners are working to make that possible by offering essential support, from hea",Utilities
Why Brookfield Infrastructure Partners (BIP) is a Great Dividend Stock Right Now,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Brookfield Infrastructure Partners (BIP) have what it takes? Let's find out.",Utilities
Are You Looking for a High-Growth Dividend Stock?,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does NextEra Energy (NEE) have what it takes? Let's find out.",Utilities
American Water Highlights Work Zone Awareness Week,"CAMDEN, N.J., April 21, 2025--American Water (NYSE: AWK), the largest regulated water and wastewater utility company in the U.S., highlights National Work Zone Awareness Week, an annual campaign that promotes safe driving in highway work zones from April 21-25, 2025.",Utilities
"FirstEnergy Names Executives to Support Transmission Business, West Virginia/Maryland and New Jersey","FirstEnergy Corp. (NYSE: FE) has announced the appointment of four new executives to support the company's transmission business, operations and generation in its combined West Virginia/Maryland division and operations in New Jersey.",Utilities
Missouri American Water Highlights Work Zone Awareness Week,"ST. LOUIS, April 21, 2025--Missouri American Water Recognizes Work Zone Safety Week",Utilities
Those who invested in Emera (TSE:EMA) a year ago are up 38%,The simplest way to invest in stocks is to buy exchange traded funds. But one can do better than that by picking better...,Utilities
Pennsylvania American Water Highlights Work Zone Awareness Week,"MECHANICSBURG, Pa., April 21, 2025--Pennsylvania American Water is highlighting National Work Zone Awareness Week, an annual campaign that promotes safe driving in highway work zones from April 21-25, 2025.",Utilities
Excelerate Starts $700MM Notes Offering to Fund New Fortress LNG Deal,Excelerate Energy plans to use the funds to pay for its recent $1.055 billion acquisition of New Fortress’ LNG import business in Jamaica.,Utilities
Billionaire Bill Ackman Has 44% of His Hedge Fund's $13 Billion Portfolio Invested in 3 Outstanding Stocks,Ackman aims to emulate some of the qualities that made Warren Buffett so successful.,Utilities
SJW (SJW) Expected to Beat Earnings Estimates: Should You Buy?,SJW (SJW) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
Is ENGIE - Sponsored ADR (ENGIY) Stock Undervalued Right Now?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Utilities
Are Utilities Stocks Lagging Deutsche Telekom (DTEGY) This Year?,Here is how Deutsche Telekom AG (DTEGY) and ENGIE - Sponsored ADR (ENGIY) have performed compared to their sector so far this year.,Utilities
Here's Why Southwest Gas (SWX) is a Strong Value Stock,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",Utilities
Wall Street's Insights Into Key Metrics Ahead of CMS Energy (CMS) Q1 Earnings,"Besides Wall Street's top -and-bottom-line estimates for CMS Energy (CMS), review projections for some of its key metrics to gain a deeper understanding of how the company might have fared during the quarter ended March 2025.",Utilities
Seeking Clues to CenterPoint (CNP) Q1 Earnings? A Peek Into Wall Street Projections for Key Metrics,"Beyond analysts' top -and-bottom-line estimates for CenterPoint (CNP), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2025.",Utilities
Insights Into Xcel (XEL) Q1: Wall Street Projections for Key Metrics,"Besides Wall Street's top -and-bottom-line estimates for Xcel (XEL), review projections for some of its key metrics to gain a deeper understanding of how the company might have fared during the quarter ended March 2025.",Utilities
SJW Group Appoints Kay R. New as Chief Human Resources Officer,"Kay R. New Kay R. New appointed Chief Human Resources Officer of SJW Group effective April 21, 2025. SAN JOSE, Calif., April 21, 2025 (GLOBE NEWSWIRE) -- SJW Group (NASDAQ: SJW), a leading national investor-owned pure-play water and wastewater utility, today announced that its board of directors has appointed Kay R. New as chief human resources officer (CHRO), effective immediately. In her new role, New will oversee enterprise-wide efforts related to talent development, organizational effectiven",Utilities
"Zacks.com featured highlights include Standard Motor Products, PRA Group, MRC Global, Gibraltar Industries and Edison International","Standard Motor Products, PRA Group, MRC Global, Gibraltar Industries and Edison International are part of the Zacks Screen of the Week article.",Utilities
"Zacks.com featured highlights include Allot, Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP, Lindsay, Equity Bancshares and Griffon","Allot, Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP, Lindsay, Equity Bancshares and Griffon are part of the Zacks Screen of the Week article.",Utilities
