symbol,title,summary,category
XOM,Is Exxon Mobil Corporation (XOM) the Best Low Volatility Stock to Buy Now?,"We recently published a list of 10 Best Low Volatility Stocks to Buy Now. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best low volatility stocks to buy now. The US stock market experienced a turbulent first quarter of 2025, marked by increased volatility […]",Energy
XOM,Exxon Mobil Corporation (XOM): Among Value Stocks in Ken Fisher’s Portfolio,"We recently published a list of 10 Value Stocks in Ken Fisher’s Portfolio. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other value stocks in Ken Fisher’s portfolio. Trump’s “stupid” tariffs will fail; that’s the sentiment echoed by billionaire investor Ken Fisher as their impact […]",Energy
XOM,"Exxon, Occidental projects at risk due to DOGE cuts, WSJ reports","The Energy Department is preparing dramatic cuts that could halt nearly $10B in federal funding for clean-energy projects and upend government contracts with energy companies working on hydrogen, carbon capture, long-duration energy storage and other technologies, according to department memos reviewed by The Wall Street Journal. The $10B sum reflects potential funding cuts in two DOE offices and likely a slice of the DOGE-driven cancellations under consideration across the Energy Department, cu",Energy
XOM,"DOGE Comes for Clean Energy, Putting Exxon and Occidental Projects at Risk",Thousands of Energy Department jobs are expected to be eliminated as Trump goes after a favorite target.,Energy
XOM,"2 No-Brainer High-Yield Energy Stocks to Buy With $2,000 Right Now","There are different segments of the broader energy sector, and each operates a little differently from the others. If you're a conservative dividend investor looking for an energy stock, you probably wouldn't want to put $2, let alone $2,000, into one of the higher-risk segments of the energy sector. What does Devon Energy do?",Energy
XOM,Why Oil and Gas Stocks Rallied on Thursday,"The cross-industry gains reflected higher oil prices, which were up 3.4% on the day to $64.60 per barrel at that time. Oil prices have been on a downward trajectory amid the threat of tariffs and their effect on the global economy; however, last night, the Trump administration put fresh sanctions on Iran, as part of its negotiations with the country over its nuclear program. As Iran is a major oil and gas producer, new sanctions could cut off that supply and raise prices globally.",Energy
XOM,"Market Chatter: Exxon Mobil, Other Energy Companies to Be Hit by DOE Clean Energy Funding Cuts","Exxon Mobil (XOM), Occidental Petroleum (OXY), and NextEra Energy (NEE) could be hit by potential fe",Energy
XOM,New Strong Sell Stocks for April 17th,"AIRS, XOM and ALVO have been added to the Zacks Rank #5 (Strong Sell) List on April 17, 2025.",Energy
XOM,"Trending tickers: TSMC, Deliveroo, Ford, Sainsbury’s, BP",The latest investor updates on stocks that are trending on Thursday.,Energy
XOM,Is Exxon Mobil (XOM) Among The Top Goldman Sachs Value Stocks?,"We recently published a list of Goldman Sachs Value Stocks: Top 12 Stock Picks. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other Goldman Sachs value stocks to invest in. As we recently discussed in another article, growth stocks are massively overvalued and trading at […]",Energy
XOM,Sector Update: Energy Stocks Advance Premarket Wednesday,Energy stocks advanced premarket Wednesday with the Energy Select Sector SPDR Fund (XLE) 0.6% higher,Energy
XOM,Chevron or ExxonMobil: Which Big Oil Leads the Permian Charge?,CVX and XOM are aligning their Permian strategies with broader low-carbon goals but are taking slightly different paths to get there.,Energy
XOM,ExxonMobil Begins Installing Fourth FPSO to Tap Guyana's Reserves,"XOM's fourth FPSO, One Guyana, has arrived, setting the stage for a major output boost from the Yellowtail field by year-end.",Energy
XOM,Petrobras' Environmental Hurdles Lead to Oil Blocks Auction in Brazil,PBR's long-dragged environmental hurdle compels the Brazilian oil regulator to open 172 oil blocks for bidding.,Energy
XOM,StoneCo and RH have been highlighted as Zacks Bull and Bear of the Day,StoneCo and RH have been highlighted as Zacks Bull and Bear of the Day,Energy
XOM,Is Exxon Mobil Corporation (XOM) the Best Oil Stock to Invest in According to Billionaires?,"We recently published a list of the 10 Best Oil Stocks to Invest in According to Billionaires. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best oil stocks. After an encouraging start to the year, the energy sector is once again lagging behind the […]",Energy
XOM,ExxonMobil Deems Gas Find at Elektra-1 Well Commercially Unviable,XOM's preliminary assessments indicate that the gas reserves at the Elektra-1 prospect are commercially infeasible for development.,Energy
XOM,2 Stocks Likely to Beat on Q1 Earnings Echoing XOM's Upstream Optimism,Accretive oil and gas prices are likely to have aided upstream operations of BP and SLB in the first quarter of 2025.,Energy
XOM,Exxon Mobil (XOM): The Best Undervalued Energy Stock to Invest in Now,"We recently published a list of the 11 Best Undervalued Energy Stocks to Invest in Now. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other undervalued energy stocks. On March 18, Tortoise Capital senior portfolio manager Rob Thummel appeared on CNBC’s ‘Squawk on the Street’ […]",Energy
XOM,Desiring Durable Passive Income During an Economic Downturn? These Elite Dividend Stocks Have Hiked Their Payouts In Each of the Last 4 Recessions.,"Economic forecasters are raising the odds that we could experience a recession in the coming quarters. Goldman Sachs has hiked its recession probability a few times in recent weeks, bumping it from 20% all the way to 45%. Its recession model sees a nearly 80% chance the economy goes into a recession, up from 60% not long ago.",Energy
XOM,Thinking About Buying Dividend Stocks During the 2025 Nasdaq Bear Market? Consider These Risks First.,Last week's rally in the broader stock market indexes sprung the Nasdaq Composite (NASDAQINDEX: ^IXIC) back upward after a more than 20% that technically put it into a bear market. Income investors looking at the current landscape may be wondering if now is the best time to buy dividend stocks given the wild swings to the upside and the downside. Here are some risks worth considering before buying dividend stocks and why ExxonMobil (NYSE: XOM) is a good example of a dividend stock that you can buy with confidence during a bear market.,Energy
XOM,Is Exxon Mobil Corporation (XOM) the Best Bargain Stock to Buy in May?,"We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]",Energy
XOM,Exxon Mobil (XOM) Gains But Lags Market: What You Should Know,"In the closing of the recent trading day, Exxon Mobil (XOM) stood at $103.39, denoting a +0.24% change from the preceding trading day.",Energy
XOM,Exxon Mobil Corporation (XOM): Among the Best Dividend Paying Stocks According to Hedge Funds,"We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by examining […]",Energy
XOM,"Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources","Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.",Energy
XOM,Cash In on the Stock Market Sell-Off. 3 Elite Dividend Stocks Now Yielding Around 4% to Buy and Boost Your Income.,"The stock market has sold off sharply this year, with the S&P 500 (SNPINDEX: ^GSPC) recently down about 10% since 2025 began. While stock market sell-offs can be tough to stomach, there is a silver lining to downturns. Stock prices and dividend yields have an inverse relationship.",Energy
XOM,Is Exxon Mobil Corp. (XOM) A Cheap NYSE Stock to Invest in According to Hedge Funds?,"We recently published a list of the 11 Cheap NYSE Stocks to Invest in According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other cheap NYSE stocks. On March 26, Jack Caffrey of JPMorgan Asset Management provided an analysis of market trends […]",Energy
XOM,"FTC takes step toward reversing Chevron, Exxon board restrictions","WASHINGTON (Reuters) -The U.S. Federal Trade Commission took a step toward potentially reversing bans on certain oil executives joining the boards of Chevron and Exxon Mobil that the Biden administration made a condition that allowed them to acquire two other oil producers. Exxon, which acquired Pioneer Natural Resources last year, had agreed to bar former Pioneer CEO Scott Sheffield from its board. Chevron, which agreed to buy Hess in 2023, consented to a similar order keeping that company's CEO, John Hess, off its board.",Energy
XOM,"Nvidia, defensive consumer plays, Logitech: Trending Tickers","Madison Mills and Yahoo Finance Executive Editor Brian Sozzi outline what's driving interest in some of the trending tickers on Yahoo Finance's platform. Citi analysts cut their Nvidia (NVDA) price target to $150 per share, citing reduced chip sales in 2025 and 2026 due to the trade war. Jefferies analysts outline their top defensive retail and consumer-facing picks, including Uber (UBER), Exxon (XOM), McDonald's (MCD), and Netflix (NFLX). Logitech (LOGI) withdraws its full-year 2026 guidance, citing tariff uncertainty. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",Energy
XOM,"Company News for Apr 11, 2025","Companies in The News Are: KMX, AAPL, CL, XOM",Energy
XOM,Why Wall Street's biggest bear isn't budging on his calls after Trump tariff pause,A bearish call that is staying in place.,Energy
XOM,This is Why Investors Should Exercise Caution With Petrobras,One of PBR's brightest spots is its robust production outlook.,Energy
XOM,What falling oil prices mean for the economy,"Oil prices (CL=F, BZ=F) are down double digits since the start of 2025 as US President Trump's trade war fuels worries about the global economy. Tortoise senior portfolio manager and managing director Rob Thummel sits down with Madison Mills and Wolfe Research chief economist Stephanie Roth to examine the oil market and what it signals about the global economy. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",Energy
XOM,Energy Stocks Take a Dive: Values or Traps?,"Oil is back to $60. Tracey Ryniec, Zacks Value Stock Strategist, looks at the earnings outlook for 3 big oil companies.",Energy
